id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1513586913222963201,1513586913222963201,2022-04-11 14:36:55 Eastern Daylight Time,2022-04-11,14:36:55,-0400,2521431379,shglantz,Sean Glantz,,Gamechanging unlock for CS teachers everywhere! #CSEd,en,[],[],[],0,1,2,['csed'],[],https://twitter.com/shGlantz/status/1513586913222963201,False,https://twitter.com/lenaatreplit/status/1513577140935139338,0,,,,,,,,[],,,,
1513517229811380234,1513517229811380234,2022-04-11 10:00:02 Eastern Daylight Time,2022-04-11,10:00:02,-0400,248760702,jared_oleary,Jared O'Leary //Multiplicity,,"In this week's #CSK8 Podcast episode I unpack @etheltshukudu, @quintincutts, @ogoletti, @aeswidan, &amp; @Felienne’s (2021) publication titled “Teachers’ views and experiences on teaching second and subsequent programming languages""  https://t.co/3NvfRWOGAd  #csforall #CSedu #CSed",en,"[{'screen_name': 'etheltshukudu', 'name': 'ethel tshukudu', 'id': '1675070414'}, {'screen_name': 'quintincutts', 'name': 'quintincutts', 'id': '18049967'}, {'screen_name': 'ogoletti', 'name': 'olivier goletti', 'id': '1157187897629564929'}, {'screen_name': 'aeswidan', 'name': 'alaaeddin swidan 🇵🇸', 'id': '2392517540'}, {'screen_name': 'felienne', 'name': '/fay-lee-nuh/', 'id': '19070986'}]",['https://jaredoleary.com/csk8feed/130'],[],1,6,5,"['csk8', 'csforall', 'csedu', 'csed']",[],https://twitter.com/Jared_OLeary/status/1513517229811380234,False,,0,,,,,,,,[],,,,
1513501707052978179,1513501707052978179,2022-04-11 08:58:21 Eastern Daylight Time,2022-04-11,08:58:21,-0400,1417134608919973890,raspberrypi_org,Raspberry Pi Foundation,,"It's #NationalPetDay 🐶🐱🐰  We love seeing pics of your pets on Twitter 📸  What? You've not got a pet? Why not create a virtual pet in @scratch:  https://t.co/yp1xZqo5I4  In this free project, you'll use variables, broadcast, and if blocks.  #LearnToCode #CSEd #STEMEd  https://t.co/6h8XjSJfMo",en,"[{'screen_name': 'scratch', 'name': 'scratch team', 'id': '15538226'}]",['http://rpf.io/this-sprite-needs-you'],['https://pbs.twimg.com/media/FQEJx28XsAAUgZ1.png'],1,4,9,"['nationalpetday', 'learntocode', 'csed', 'stemed']",[],https://twitter.com/RaspberryPi_org/status/1513501707052978179,False,,1,https://pbs.twimg.com/media/FQEJx28XsAAUgZ1.png,,,,,,,[],,,,
1512953861937545216,1512953861937545216,2022-04-09 20:41:24 Eastern Daylight Time,2022-04-09,20:41:24,-0400,2834502939,maybrusso,Andrea Russo,,Thank you @MicrosoftIPC for hosting @csteachersorg #EquityFellows It was truly enlightening &amp; inspiring weekend to hear from this remarkable group. I am unapologetic advocate for #CSEdu,en,"[{'screen_name': 'microsoftipc', 'name': 'microsoft innovation & policy center', 'id': '252889035'}, {'screen_name': 'csteachersorg', 'name': 'cs teachers association (csta)', 'id': '88305457'}]",[],[],0,0,4,"['equityfellows', 'csedu']",[],https://twitter.com/maybrusso/status/1512953861937545216,False,,0,,,,,,,,[],,,,
1512851638205259791,1512849752320364546,2022-04-09 13:55:12 Eastern Daylight Time,2022-04-09,13:55:12,-0400,375621233,marlobarnett,Dr. Marlo Barnett,,"@SPHSPHSPHSPH @csteachersorg @Microsoft @cjbj9612 @Sonal_EDU @_DonaldSG @vkajones @BerriosVRE @Ms_Ufret @GinaFugate2015 @JennyStyer @SVicGlass That’s a nice photo… if ONLY this can be the image all over the nation for #CSed #technology spaces, organizations, jobs, and institutions. #RepresentationMatters",en,[],[],[],0,0,7,"['csed', 'technology', 'representationmatters']",[],https://twitter.com/marlobarnett/status/1512851638205259791,False,,0,,,,,,,,"[{'screen_name': 'SPHSPHSPHSPH', 'name': 'ShawnPatrickHiggins', 'id': '272514745'}, {'screen_name': 'csteachersorg', 'name': 'CS Teachers Association (CSTA)', 'id': '88305457'}, {'screen_name': 'Microsoft', 'name': 'Microsoft', 'id': '74286565'}, {'screen_name': 'cjbj9612', 'name': 'Carla Neely', 'id': '743609624016883712'}, {'screen_name': 'Sonal_EDU', 'name': 'Sonal Patel, M.S. Ed Tech', 'id': '2392022618'}, {'screen_name': '_DonaldSG', 'name': 'Donald Saint-Germain', 'id': '1488558538066731018'}, {'screen_name': 'vkajones', 'name': 'Vanessa Jones', 'id': '13170422'}, {'screen_name': 'BerriosVRE', 'name': 'Ms. Berrios', 'id': '958328184369483776'}, {'screen_name': 'Ms_Ufret', 'name': 'Ashley Ufret', 'id': '1438558441501515778'}, {'screen_name': 'GinaFugate2015', 'name': 'Gina Fugate', 'id': '1506304566379388938'}, {'screen_name': 'JennyStyer', 'name': 'Jenny Styer', 'id': '1450605417952780292'}, {'screen_name': 'SVicGlass', 'name': 'Shaina Glass', 'id': '526028204'}]",,,,
1512615077492367361,1512615077492367361,2022-04-08 22:15:12 Eastern Daylight Time,2022-04-08,22:15:12,-0400,1159194740765728770,afairitrt,Amanda Fair,,This article talks about coding and the design process in the context of constructionism. The design process is so important in #CSEd. We have to teach our students how to fail forward and the value of multiple iterations. #6711SM5   https://t.co/bQKM4XQ5So,en,[],['https://search.ebscohost.com/login.aspx?direct=true&AuthType=shib&db=psyh&AN=2019-41743-039&site=eds-live&scope=site&custid=s6527200'],[],0,0,0,"['csed', '6711sm5']",[],https://twitter.com/AFairITRT/status/1512615077492367361,False,,0,,,,,,,,[],,,,
1512169296734076935,1512169296734076935,2022-04-07 16:43:49 Eastern Daylight Time,2022-04-07,16:43:49,-0400,14813636,hodgesc,Chuck Hodges,,.@mete_akca led a Project GAME (@NSF funded project) meeting today making plans for writing and continued work through the summer and beyond.  These meetings and discussions are part of the job I really enjoy.   https://t.co/DZGNeb2VgT @selcukdogann #ProfLife #CSed #CSforall,en,"[{'screen_name': 'mete_akca', 'name': 'mete akcaoglu', 'id': '16245045'}, {'screen_name': 'nsf', 'name': 'national science foundation', 'id': '16245822'}, {'screen_name': 'selcukdogann', 'name': 'selçuk doğan', 'id': '231033416'}]",['https://www.projectgame.org/'],[],1,2,7,"['proflife', 'csed', 'csforall']",[],https://twitter.com/hodgesc/status/1512169296734076935,False,,0,,,,,,,,[],,,,
1512168874216722434,1512168874216722434,2022-04-07 16:42:09 Eastern Daylight Time,2022-04-07,16:42:09,-0400,2196429751,senecamhart,Seneca M. Hart,,👀 @ the focus! Very last @codeorg lesson before AI/Machine Learning projects start in @coppelleast Coding! I ❤️ this so much b/c troubleshooting models sets them up to 🥊 any problems of their own they encounter #clearlyCTE #csed  https://t.co/1ftSsB63jJ,en,"[{'screen_name': 'codeorg', 'name': 'code.org', 'id': '850107536'}, {'screen_name': 'coppelleast', 'name': 'coppell middle school east', 'id': '41585224'}]",[],['https://pbs.twimg.com/media/FPxNkvrWQAABfIh.jpg'],0,0,2,"['clearlycte', 'csed']",[],https://twitter.com/SenecaMHart/status/1512168874216722434,False,,1,https://pbs.twimg.com/media/FPxNkvrWQAABfIh.jpg,,,,,,,[],,,,
1512090487129362435,1512090487129362435,2022-04-07 11:30:40 Eastern Daylight Time,2022-04-07,11:30:40,-0400,759023573168189441,csforall,CSforALL,,Do you want to be more involved with the #CSforALL Community? Discover new #CSEd resources and opportunities in the latest CSforALL newsletter and subscribe to receive future newsletters in your inbox at  https://t.co/Nejuaa0650.  https://t.co/KIGhb3drYf,en,[],['https://buff.ly/3Kx6wJT'],['https://pbs.twimg.com/media/FPwGSKXXEAAgJiU.jpg'],0,2,4,"['csforall', 'csed']",[],https://twitter.com/CSforALL/status/1512090487129362435,False,,1,https://pbs.twimg.com/media/FPwGSKXXEAAgJiU.jpg,,,,,,,[],,,,
1512080998686593046,1512080998686593046,2022-04-07 10:52:57 Eastern Daylight Time,2022-04-07,10:52:57,-0400,416818064,bryantstampede,Paul W Bryant HS,,"Congratulations to Destiny Langford on being selected as a 2022 NCWIT AiC Educator Award recipient! Thanks, Ms. Langford, for supporting students at Bryant! @NCWITAIC #NCWITAiC22 #csed @TCSBoardofEd @Read4meLydia  https://t.co/jnaY1piGjq",en,"[{'screen_name': 'ncwitaic', 'name': 'ncwitaic', 'id': '1327897044'}, {'screen_name': 'tcsboardofed', 'name': 't🍏s board of ed', 'id': '174389364'}, {'screen_name': 'read4melydia', 'name': 'lydia edwards', 'id': '619180626'}]",[],['https://pbs.twimg.com/media/FPv9p-BVcAYuVv_.jpg'],0,4,6,"['ncwitaic22', 'csed']",[],https://twitter.com/BryantStampede/status/1512080998686593046,False,,1,https://pbs.twimg.com/media/FPv9p-BVcAYuVv_.jpg,,,,,,,[],,,,
